,text,label
0,"The Rock is destined to be the 21st Century 's new `` Conan '' and that he 's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal .",3
1,The gorgeously elaborate continuation of `` The Lord of the Rings '' trilogy is so huge that a column of words can not adequately describe co-writer\/director Peter Jackson 's expanded vision of J.R.R. Tolkien 's Middle-earth .,4
2,"Singer\/composer Bryan Adams contributes a slew of songs -- a few potential hits , a few more simply intrusive to the story -- but the whole package certainly captures the intended , er , spirit of the piece .",3
3,You 'd think by now America would have had enough of plucky British eccentrics with hearts of gold .,2
4,Yet the act is still charming here .,3
5,"Whether or not you 're enlightened by any of Derrida 's lectures on `` the other '' and `` the self , '' Derrida is an undeniably fascinating and playful fellow .",4
6,Just the labour involved in creating the layered richness of the imagery in this chiaroscuro of madness and light is astonishing .,4
7,Part of the charm of Satin Rouge is that it avoids the obvious with humour and lightness .,3
8,a screenplay more ingeniously constructed than `` Memento '',4
9,`` Extreme Ops '' exceeds expectations .,3
10,"Good fun , good action , good acting , good dialogue , good pace , good cinematography .",4
11,You Should Pay Nine Bucks for This : Because you can hear about suffering Afghan refugees on the news and still be unaffected .,2
12,Dramas like this make it human .,4
13,"A thunderous ride at first , quiet cadences of pure finesse are few and far between ; their shortage dilutes the potency of otherwise respectable action .",2
14,"Still , this flick is fun , and host to some truly excellent sequences .",4
15,Australian actor\/director John Polson and award-winning English cinematographer Giles Nuttgens make a terrific effort at disguising the obvious with energy and innovation .,3
16,You walk out of The Good Girl with mixed emotions -- disapproval of Justine combined with a tinge of understanding for her actions .,3
17,Post 9\/11 the philosophical message of `` Personal Freedom First '' might not be as palatable as intended .,2
18,Absorbing character study by André Turpin .,4
19,"If you love reading and\/or poetry , then by all means check it out .",3
20,You 'll probably love it .,4
21,"`` Frailty '' has been written so well , that even a simple `` Goddammit ! ''",3
22,near the end takes on a whole other meaning .,2
23,"Grenier is terrific , bringing an unforced , rapid-fire delivery to Toback 's Heidegger - and Nietzsche-referencing dialogue .",4
24,The Sundance Film Festival has become so buzz-obsessed that fans and producers descend upon Utah each January to ferret out The Next Great Thing .,2
25,"` Tadpole ' was one of the films so declared this year , but it 's really more of The Next Pretty Good Thing .",2
26,The actors are fantastic .,4
27,They are what makes it worth the trip to the theatre .,3
28,"( Taymor ) utilizes the idea of making Kahlo 's art a living , breathing part of the movie , often catapulting the artist into her own work .",4
29,This is n't a new idea .,1
30,It 's been done before but never so vividly or with so much passion .,4
31,( `` Take Care of My Cat '' ) is an honestly nice little film that takes us on an examination of young adult life in urban South Korea through the hearts and minds of the five principals .,3
32,"It 's not life-affirming -- its vulgar and mean , but I liked it .",2
33,What `` Empire '' lacks in depth it makes up for with its heart .,3
34,"Light , silly , photographed with colour and depth , and rather a good time .",4
35,But tongue-in-cheek preposterousness has always been part of For the most part Wilde 's droll whimsy helps `` Being Earnest '' overcome its weaknesses and Parker 's creative interference ...,3
36,Much of the movie 's charm lies in the utter cuteness of Stuart and Margolo .,3
37,Their computer-animated faces are very expressive .,3
38,"The path Ice Age follows most closely , though , is the one established by Warner Bros. giant Chuck Jones , who died a matter of weeks before the movie 's release .",2
39,"... spiced with humor ( ' I speak fluent flatula , ' advises Denlopp after a rather , er , bubbly exchange with an alien deckhand ) and witty updatings ( Silver 's parrot has been replaced with Morph , a cute alien creature who mimics everyone and everything around )",3
40,There 's an energy to Y Tu Mamá También .,3
41,"Much of it comes from the brave , uninhibited performances by its lead actors .",4
42,"`` 13 Conversations '' holds its goodwill close , but is relatively slow to come to the point .",2
43,`` Auto Focus '' works as an unusual biopic and document of male swingers in the Playboy era,3
44,"If Mr. Zhang 's subject matter is , to some degree at least , quintessentially American , his approach to storytelling might be called Iranian .",2
45,... a sour little movie at its core ; an exploration of the emptiness that underlay the relentless gaiety of the 1920 's ... The film 's ending has a `` What was it all for ? '',0
46,"feeling to it , but like the 1920 's , the trip there is a great deal of fun .",3
47,`` Cremaster 3 '' should come with the warning `` For serious film buffs only ! '',3
48,Made me unintentionally famous -- as the queasy-stomached critic who staggered from the theater and blacked out in the lobby .,1
49,"But believe it or not , it 's one of the most beautiful , evocative works I 've seen .",4
50,"García Bernal and Talancón are an immensely appealing couple , and even though their story is predictable , you 'll want things to work out .",3
51,"... a spoof comedy that carries its share of laughs -- sometimes a chuckle , sometimes a guffaw and , to my great pleasure , the occasional belly laugh .",4
52,"( City ) reminds us how realistically nuanced a Robert De Niro performance can be when he is not more lucratively engaged in the shameless self-caricature of ` Analyze This ' ( 1999 ) and ` Analyze That , ' promised ( or threatened ) for later this year .",3
53,The wanton slipperiness of \* Corpus and its amiable jerking and reshaping of physical time and space would make it a great piece to watch with kids and use to introduce video as art .,4
54,"`` Frailty '' starts out like a typical Bible killer story , but it turns out to be significantly different ( and better ) than most films with this theme .",4
55,"For those who pride themselves on sophisticated , discerning taste , this might not seem like the proper cup of tea , however it is almost guaranteed that even the stuffiest cinema goers will laugh their \*\*\* off for an hour-and-a-half .",4
56,"It cuts to the core of what it actually means to face your fears , to be a girl in a world of boys , to be a boy truly in love with a girl , and to ride the big metaphorical wave that is life -- wherever it takes you .",4
57,"A welcome relief from baseball movies that try too hard to be mythic , this one is a sweet and modest and ultimately winning story .",3
58,A crisp psychological drama ( and ) a fascinating little thriller that would have been perfect for an old `` Twilight Zone '' episode .,3
59,It has more than a few moments that are insightful enough to be fondly remembered in the endlessly challenging maze of moviegoing .,3
60,"Opening with some contrived banter , cliches and some loose ends , the screenplay only comes into its own in the second half .",2
61,"An uncluttered , resonant gem that relays its universal points without lectures or confrontations . '",3
62,( The Cockettes ) provides a window into a subculture hell-bent on expressing itself in every way imaginable . ',3
63,"A smart , steamy mix of road movie , coming-of-age story and political satire .",3
64,The modern-day royals have nothing on these guys when it comes to scandals .,1
65,It 's only in fairy tales that princesses that are married for political reason live happily ever after .,1
66,"A terrific B movie -- in fact , the best in recent memory .",4
67,`` Birthday Girl '' is an actor 's movie first and foremost .,3
68,I walked away from this new version of E.T. just as I hoped I would -- with moist eyes .,4
69,"For devotees of French cinema , Safe Conduct is so rich with period minutiae it 's like dying and going to celluloid heaven .",4
70,What 's really so appealing about the characters is their resemblance to everyday children .,3
71,"Shamelessly resorting to pee-related sight gags that might even cause Tom Green a grimace ; still , Myer 's energy and the silliness of it all eventually prevail",2
72,An absurdist spider web .,1
73,"If you 're as happy listening to movies as you are watching them , and the slow parade of human frailty fascinates you , then you 're at the right film .",3
74,"This version moves beyond the original 's nostalgia for the communal film experiences of yesteryear to a deeper realization of cinema 's inability to stand in for true , lived experience .",2
75,Some movies blend together as they become distant memories .,2
